	n	time	time1	t2/t1
115	115	0.00030000000000000003	0.00036363636363636367	1.2121212121212122
116	116	0.0002001	0.00027290909090909096	1.3638635227840628
117	117	0.0001001	0.00018190909090909092	1.817273635455454
118	118	0.0002	0.00027272727272727274	1.3636363636363635
119	119	0.0002001	0.00027281818181818185	1.3634092044886648
120	120	0.0001001	0.00018190909090909092	1.817273635455454
121	121	0.0002001	0.00027281818181818185	1.3634092044886648
122	122	0.0002001	0.00018190909090909092	0.9090909090909091
123	123	0.00030000000000000003	0.00036363636363636367	1.2121212121212122
124	124	0.0001	9.090909090909092e-05	0.9090909090909092
125	125	0.0004001	0.00045463636363636366	1.1363068323828134
126	126	0.0	0.0	
127	127	0.0001	0.00018181818181818183	1.8181818181818183
128	128	0.0	0.0	
129	129	0.0002	0.00018181818181818183	0.9090909090909092
